Triad,Narration,Listener,OldOrNew,Transcript,Audience,Hedges,Rising Intonation,,,,,,,,,,,,,,,,,,
15,3,2,New,okay basically like the roadrunner’s you know,,"like, you know",,,,,,,,,,,,,,,,,,,
15,3,2,New,running away from coyote all the time,mm-hmm,,,,,,,,,,,,,,,,,,,,
15,3,2,New,like the roadrunner cartoons,,like,,,,,,,,,,,,,,,,,,,
15,3,2,New,so coyote’s chasing him you know,,you know,,,,,,,,,,,,,,,,,,,
15,3,2,New,he’s running really fast at the beginning,,,,,,,,,,,,,,,,,,,,,
15,3,2,New,and the coyote has a napkin like around his neck,,like,,,,,,,,,,,,,,,,,,,
15,3,2,New,and he has a fork and a knife,,,,,,,,,,,,,,,,,,,,,
15,3,2,New,and he’s trying to get him,,,,,,,,,,,,,,,,,,,,,
15,3,2,New,so roadrunner is running and running,,,,,,,,,,,,,,,,,,,,,
15,3,2,New,and then he comes to like a hold like he stops,,"like, like",,,,,,,,,,,,,,,,,,,
15,3,2,New,and then like it goes in slow motion the cartoon,,"like, like",,,,,,,,,,,,,,,,,,,
15,3,2,New,he’s like running slowly,,"like, like",,,,,,,,,,,,,,,,,,,
15,3,2,New,and then when it’s like just shoots,,"like, like",,,,,,,,,,,,,,,,,,,
15,3,2,New,and he just starts running a again,,,,,,,,,,,,,,,,,,,,,
15,3,2,New,and like really quick,,like,,,,,,,,,,,,,,,,,,,
15,3,2,New,and coyote misses him,,,,,,,,,,,,,,,,,,,,,
15,3,2,New,like he goes like that on the on the ground,,like,,,,,,,,,,,,,,,,,,,
15,3,2,New,and he misses him,,,,,,,,,,,,,,,,,,,,,
15,3,2,New,so he’s gets mad,,,,,,,,,,,,,,,,,,,,,
15,3,2,New,and that’s the first time he tries to get him,,,,,,,,,,,,,,,,,,,,,
15,3,2,New,the second time he tries to get him,,,,,,,,,,,,,,,,,,,,,
15,3,2,New,he puts a boxing glove on like a resort,,like,,,,,,,,,,,,,,,,,,,
15,3,2,New,on a big rock,,,,,,,,,,,,,,,,,,,,,
15,3,2,New,and he like you know,,"like, you know",,,,,,,,,,,,,,,,,,,
